mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__num_leaves,param_model__n_estimators,param_model__min_gain_to_split,param_model__min_data_in_leaf,param_model__max_depth,param_model__learning_rate,param_model__lambda_l2,param_model__lambda_l1,param_model__feature_fraction,param_model__bagging_freq,param_model__bagging_fraction,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
165.9203200340271,0.0,9.518998861312866,0.0,127,4000,0.05,50,-1,0.05,10,0.0,0.8,1,0.6,"{'model__num_leaves': 127, 'model__n_estimators': 4000, 'model__min_gain_to_split': 0.05, 'model__min_data_in_leaf': 50, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__lambda_l2': 10, 'model__lambda_l1': 0, 'model__feature_fraction': 0.8, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26277.59832119947,-26277.59832119947,0.0,28
295.4293849468231,0.0,34.375667095184326,0.0,63,5000,0.1,100,-1,0.03,20,0.5,0.9,1,0.8,"{'model__num_leaves': 63, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 100, 'model__max_depth': -1, 'model__learning_rate': 0.03, 'model__lambda_l2': 20, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.8}",-25923.52377311996,-25923.52377311996,0.0,6
150.91179704666138,0.0,7.241795778274536,0.0,63,4000,0.1,200,8,0.07,0,0.1,0.8,1,0.6,"{'model__num_leaves': 63, 'model__n_estimators': 4000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 200, 'model__max_depth': 8, 'model__learning_rate': 0.07, 'model__lambda_l2': 0, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.8, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26378.877749009876,-26378.877749009876,0.0,34
84.99483704566956,0.0,7.061655759811401,0.0,31,3000,0.02,100,-1,0.03,10,0.1,0.8,1,0.7,"{'model__num_leaves': 31, 'model__n_estimators': 3000, 'model__min_gain_to_split': 0.02, 'model__min_data_in_leaf': 100, 'model__max_depth': -1, 'model__learning_rate': 0.03, 'model__lambda_l2': 10, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.8, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-26467.54643233016,-26467.54643233016,0.0,37
163.78146314620972,0.0,10.798303842544556,0.0,127,4000,0.05,300,12,0.07,50,0.1,0.6,1,0.7,"{'model__num_leaves': 127, 'model__n_estimators': 4000, 'model__min_gain_to_split': 0.05, 'model__min_data_in_leaf': 300, 'model__max_depth': 12, 'model__learning_rate': 0.07, 'model__lambda_l2': 50, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-26224.720415367578,-26224.720415367578,0.0,25
141.8413188457489,0.0,6.246665000915527,0.0,63,4000,0.0,50,-1,0.07,20,0.0,0.9,1,0.8,"{'model__num_leaves': 63, 'model__n_estimators': 4000, 'model__min_gain_to_split': 0.0, 'model__min_data_in_leaf': 50, 'model__max_depth': -1, 'model__learning_rate': 0.07, 'model__lambda_l2': 20, 'model__lambda_l1': 0, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.8}",-26198.014133717486,-26198.014133717486,0.0,23
85.27215385437012,0.0,6.988037109375,0.0,31,3000,0.1,100,12,0.03,20,1.0,0.7,1,0.6,"{'model__num_leaves': 31, 'model__n_estimators': 3000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 100, 'model__max_depth': 12, 'model__learning_rate': 0.03, 'model__lambda_l2': 20, 'model__lambda_l1': 1.0, 'model__feature_fraction': 0.7, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26426.123624347467,-26426.123624347467,0.0,35
61.42975378036499,0.0,3.93696928024292,0.0,31,2000,0.0,300,10,0.03,50,0.5,0.6,1,0.9,"{'model__num_leaves': 31, 'model__n_estimators': 2000, 'model__min_gain_to_split': 0.0, 'model__min_data_in_leaf': 300, 'model__max_depth': 10, 'model__learning_rate': 0.03, 'model__lambda_l2': 50, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.9}",-27293.853696267382,-27293.853696267382,0.0,40
114.58477210998535,0.0,7.744084119796753,0.0,63,2000,0.1,200,-1,0.03,50,1.0,0.6,1,0.6,"{'model__num_leaves': 63, 'model__n_estimators': 2000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 200, 'model__max_depth': -1, 'model__learning_rate': 0.03, 'model__lambda_l2': 50, 'model__lambda_l1': 1.0, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26440.448704656344,-26440.448704656344,0.0,36
167.6761782169342,0.0,14.10720682144165,0.0,31,6000,0.1,50,-1,0.07,10,0.1,0.8,1,0.6,"{'model__num_leaves': 31, 'model__n_estimators': 6000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 50, 'model__max_depth': -1, 'model__learning_rate': 0.07, 'model__lambda_l2': 10, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.8, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26061.830914063277,-26061.830914063277,0.0,15
62.89983677864075,0.0,4.143682241439819,0.0,31,2000,0.05,200,-1,0.03,5,0.0,0.7,1,0.8,"{'model__num_leaves': 31, 'model__n_estimators': 2000, 'model__min_gain_to_split': 0.05, 'model__min_data_in_leaf': 200, 'model__max_depth': -1, 'model__learning_rate': 0.03, 'model__lambda_l2': 5, 'model__lambda_l1': 0, 'model__feature_fraction': 0.7, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.8}",-27003.152895097886,-27003.152895097886,0.0,39
91.98926115036011,0.0,8.531694889068604,0.0,31,3000,0.02,200,-1,0.05,0,0.5,0.7,1,0.6,"{'model__num_leaves': 31, 'model__n_estimators': 3000, 'model__min_gain_to_split': 0.02, 'model__min_data_in_leaf': 200, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__lambda_l2': 0, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.7, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26170.32147410635,-26170.32147410635,0.0,20
282.78650879859924,0.0,28.67611312866211,0.0,127,6000,0.1,100,10,0.03,10,0.5,0.9,1,0.9,"{'model__num_leaves': 127, 'model__n_estimators': 6000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 100, 'model__max_depth': 10, 'model__learning_rate': 0.03, 'model__lambda_l2': 10, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.9}",-26063.72411824013,-26063.72411824013,0.0,16
142.58885884284973,0.0,7.49889612197876,0.0,31,4000,0.05,50,12,0.07,5,1.0,0.9,1,0.9,"{'model__num_leaves': 31, 'model__n_estimators': 4000, 'model__min_gain_to_split': 0.05, 'model__min_data_in_leaf': 50, 'model__max_depth': 12, 'model__learning_rate': 0.07, 'model__lambda_l2': 5, 'model__lambda_l1': 1.0, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.9}",-25987.97475139641,-25987.97475139641,0.0,8
85.86114382743835,0.0,8.521099090576172,0.0,31,3000,0.0,50,10,0.07,0,0.0,0.9,1,0.6,"{'model__num_leaves': 31, 'model__n_estimators': 3000, 'model__min_gain_to_split': 0.0, 'model__min_data_in_leaf': 50, 'model__max_depth': 10, 'model__learning_rate': 0.07, 'model__lambda_l2': 0, 'model__lambda_l1': 0, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26188.712311790376,-26188.712311790376,0.0,21
153.9755458831787,0.0,7.786659002304077,0.0,63,5000,0.1,50,8,0.05,5,0.1,0.9,1,0.6,"{'model__num_leaves': 63, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 50, 'model__max_depth': 8, 'model__learning_rate': 0.05, 'model__lambda_l2': 5, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26202.23073064634,-26202.23073064634,0.0,24
180.73368191719055,0.0,9.63457202911377,0.0,63,4000,0.0,50,12,0.05,5,1.0,0.6,1,0.7,"{'model__num_leaves': 63, 'model__n_estimators': 4000, 'model__min_gain_to_split': 0.0, 'model__min_data_in_leaf': 50, 'model__max_depth': 12, 'model__learning_rate': 0.05, 'model__lambda_l2': 5, 'model__lambda_l1': 1.0, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-25920.789399079153,-25920.789399079153,0.0,5
323.0609121322632,0.0,38.275712966918945,0.0,127,3000,0.1,50,12,0.03,50,0.5,0.6,1,0.6,"{'model__num_leaves': 127, 'model__n_estimators': 3000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 50, 'model__max_depth': 12, 'model__learning_rate': 0.03, 'model__lambda_l2': 50, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-25859.6610124326,-25859.6610124326,0.0,3
220.30151987075806,0.0,18.433484077453613,0.0,63,5000,0.02,100,-1,0.05,50,0.5,0.7,1,0.7,"{'model__num_leaves': 63, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.02, 'model__min_data_in_leaf': 100, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__lambda_l2': 50, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.7, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-25905.228135383735,-25905.228135383735,0.0,4
173.90117526054382,0.0,8.571669816970825,0.0,127,3000,0.02,50,10,0.05,10,0.0,0.7,1,0.6,"{'model__num_leaves': 127, 'model__n_estimators': 3000, 'model__min_gain_to_split': 0.02, 'model__min_data_in_leaf': 50, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__lambda_l2': 10, 'model__lambda_l1': 0, 'model__feature_fraction': 0.7, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26191.436167777763,-26191.436167777763,0.0,22
112.76555180549622,0.0,6.169076204299927,0.0,63,2000,0.0,50,-1,0.05,20,0.5,0.7,1,0.9,"{'model__num_leaves': 63, 'model__n_estimators': 2000, 'model__min_gain_to_split': 0.0, 'model__min_data_in_leaf': 50, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__lambda_l2': 20, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.7, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.9}",-26044.494305653123,-26044.494305653123,0.0,11
120.50610494613647,0.0,11.053932189941406,0.0,31,5000,0.05,50,8,0.07,5,0.5,0.7,1,0.7,"{'model__num_leaves': 31, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.05, 'model__min_data_in_leaf': 50, 'model__max_depth': 8, 'model__learning_rate': 0.07, 'model__lambda_l2': 5, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.7, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-26023.525931681394,-26023.525931681394,0.0,9
239.28975009918213,0.0,46.18818473815918,0.0,63,5000,0.1,300,-1,0.05,50,0.1,0.6,1,0.9,"{'model__num_leaves': 63, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 300, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__lambda_l2': 50, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.9}",-25789.183669766706,-25789.183669766706,0.0,1
162.0153248310089,0.0,14.115294218063354,0.0,31,5000,0.0,300,10,0.05,20,0.5,0.7,1,0.7,"{'model__num_leaves': 31, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.0, 'model__min_data_in_leaf': 300, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__lambda_l2': 20, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.7, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-25986.81782976874,-25986.81782976874,0.0,7
167.2729959487915,0.0,18.1388680934906,0.0,31,6000,0.1,100,8,0.07,50,0.1,0.7,1,0.9,"{'model__num_leaves': 31, 'model__n_estimators': 6000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 100, 'model__max_depth': 8, 'model__learning_rate': 0.07, 'model__lambda_l2': 50, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.7, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.9}",-25833.755450629862,-25833.755450629862,0.0,2
136.73926615715027,0.0,17.15329885482788,0.0,31,4000,0.02,100,8,0.03,50,0.1,0.9,1,0.6,"{'model__num_leaves': 31, 'model__n_estimators': 4000, 'model__min_gain_to_split': 0.02, 'model__min_data_in_leaf': 100, 'model__max_depth': 8, 'model__learning_rate': 0.03, 'model__lambda_l2': 50, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26310.811450147765,-26310.811450147765,0.0,30
186.48686695098877,0.0,11.864275932312012,0.0,63,6000,0.05,300,10,0.07,50,0.5,0.7,1,0.9,"{'model__num_leaves': 63, 'model__n_estimators': 6000, 'model__min_gain_to_split': 0.05, 'model__min_data_in_leaf': 300, 'model__max_depth': 10, 'model__learning_rate': 0.07, 'model__lambda_l2': 50, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.7, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.9}",-26073.605526565123,-26073.605526565123,0.0,18
169.39969730377197,0.0,8.706037044525146,0.0,127,3000,0.05,200,10,0.07,0,1.0,0.7,1,0.6,"{'model__num_leaves': 127, 'model__n_estimators': 3000, 'model__min_gain_to_split': 0.05, 'model__min_data_in_leaf': 200, 'model__max_depth': 10, 'model__learning_rate': 0.07, 'model__lambda_l2': 0, 'model__lambda_l1': 1.0, 'model__feature_fraction': 0.7, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26365.739153179544,-26365.739153179544,0.0,33
168.0701241493225,0.0,5.909157752990723,0.0,127,5000,0.1,100,10,0.07,5,0.0,0.6,1,0.7,"{'model__num_leaves': 127, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 100, 'model__max_depth': 10, 'model__learning_rate': 0.07, 'model__lambda_l2': 5, 'model__lambda_l1': 0, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-26226.65208339243,-26226.65208339243,0.0,26
145.04899406433105,0.0,12.827910900115967,0.0,31,4000,0.05,100,-1,0.05,50,0.5,0.9,1,0.6,"{'model__num_leaves': 31, 'model__n_estimators': 4000, 'model__min_gain_to_split': 0.05, 'model__min_data_in_leaf': 100, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__lambda_l2': 50, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26060.254918491366,-26060.254918491366,0.0,14
201.3138689994812,0.0,14.547163963317871,0.0,31,5000,0.05,300,8,0.03,50,0.0,0.9,1,0.6,"{'model__num_leaves': 31, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.05, 'model__min_data_in_leaf': 300, 'model__max_depth': 8, 'model__learning_rate': 0.03, 'model__lambda_l2': 50, 'model__lambda_l1': 0, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26322.850856568428,-26322.850856568428,0.0,31
179.26778078079224,0.0,13.278311252593994,0.0,63,3000,0.1,200,12,0.05,0,0.0,0.8,1,0.7,"{'model__num_leaves': 63, 'model__n_estimators': 3000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 200, 'model__max_depth': 12, 'model__learning_rate': 0.05, 'model__lambda_l2': 0, 'model__lambda_l1': 0, 'model__feature_fraction': 0.8, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-26087.170658977913,-26087.170658977913,0.0,19
128.02930283546448,0.0,8.400556802749634,0.0,63,3000,0.1,300,8,0.05,5,0.1,0.9,1,0.7,"{'model__num_leaves': 63, 'model__n_estimators': 3000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 300, 'model__max_depth': 8, 'model__learning_rate': 0.05, 'model__lambda_l2': 5, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-26346.25861721396,-26346.25861721396,0.0,32
75.26300430297852,0.0,5.544148921966553,0.0,31,2000,0.02,100,10,0.07,50,0.1,0.6,1,0.7,"{'model__num_leaves': 31, 'model__n_estimators': 2000, 'model__min_gain_to_split': 0.02, 'model__min_data_in_leaf': 100, 'model__max_depth': 10, 'model__learning_rate': 0.07, 'model__lambda_l2': 50, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-26285.117390008592,-26285.117390008592,0.0,29
164.36231398582458,0.0,13.253209114074707,0.0,63,4000,0.1,300,8,0.07,20,0.1,0.6,1,0.8,"{'model__num_leaves': 63, 'model__n_estimators': 4000, 'model__min_gain_to_split': 0.1, 'model__min_data_in_leaf': 300, 'model__max_depth': 8, 'model__learning_rate': 0.07, 'model__lambda_l2': 20, 'model__lambda_l1': 0.1, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.8}",-26059.122813998776,-26059.122813998776,0.0,13
71.97436428070068,0.0,4.425921678543091,0.0,31,2000,0.0,50,8,0.05,20,1.0,0.9,1,0.9,"{'model__num_leaves': 31, 'model__n_estimators': 2000, 'model__min_gain_to_split': 0.0, 'model__min_data_in_leaf': 50, 'model__max_depth': 8, 'model__learning_rate': 0.05, 'model__lambda_l2': 20, 'model__lambda_l1': 1.0, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.9}",-26535.60779774963,-26535.60779774963,0.0,38
166.1921510696411,0.0,2.014460802078247,0.0,127,5000,0.02,50,-1,0.07,20,0.5,0.6,1,0.8,"{'model__num_leaves': 127, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.02, 'model__min_data_in_leaf': 50, 'model__max_depth': -1, 'model__learning_rate': 0.07, 'model__lambda_l2': 20, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.6, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.8}",-26250.43004092969,-26250.43004092969,0.0,27
161.12675094604492,0.0,6.390432834625244,0.0,63,5000,0.0,50,8,0.05,50,0.5,0.8,1,0.6,"{'model__num_leaves': 63, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.0, 'model__min_data_in_leaf': 50, 'model__max_depth': 8, 'model__learning_rate': 0.05, 'model__lambda_l2': 50, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.8, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.6}",-26056.28152875213,-26056.28152875213,0.0,12
162.22711610794067,0.0,3.4704220294952393,0.0,63,5000,0.0,300,-1,0.05,10,0.0,0.9,1,0.9,"{'model__num_leaves': 63, 'model__n_estimators': 5000, 'model__min_gain_to_split': 0.0, 'model__min_data_in_leaf': 300, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__lambda_l2': 10, 'model__lambda_l1': 0, 'model__feature_fraction': 0.9, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.9}",-26031.347470628054,-26031.347470628054,0.0,10
126.96373009681702,0.0,6.723412990570068,0.0,31,4000,0.02,300,10,0.05,20,0.5,0.8,1,0.7,"{'model__num_leaves': 31, 'model__n_estimators': 4000, 'model__min_gain_to_split': 0.02, 'model__min_data_in_leaf': 300, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__lambda_l2': 20, 'model__lambda_l1': 0.5, 'model__feature_fraction': 0.8, 'model__bagging_freq': 1, 'model__bagging_fraction': 0.7}",-26064.300777270662,-26064.300777270662,0.0,17
